,Cantus,Counter
0,58,67
1,66,69
2,64,71
3,68,76
4,66,74
5,58,66
6,59,68
7,57,66
8,58,62
9,57,64
10,56,60
11,55,64
12,62,65
13,60,64
14,59,71
15,62,70
16,65,73
17,64,72
18,65,68
19,62,65
20,54,58
21,55,59
22,52,61
23,54,63
24,56,60
25,58,61
26,46,55
27,48,56
28,49,57
29,48,60
30,52,59
31,51,63
32,56,64
33,54,63
34,51,55
35,53,57
36,55,58
37,56,60
38,63,72
39,62,71
40,60,68
41,62,70
42,66,69
43,63,66
44,55,67
45,56,63
46,53,65
47,50,58
48,51,60
49,46,55
50,48,57
51,51,59
52,52,55
53,53,57
54,55,59
55,54,62
56,53,65
57,60,63
58,59,71
59,60,69
60,61,64
61,57,66
62,61,65
63,54,66
64,55,64
65,57,60
66,54,61
67,56,60
68,59,63
69,57,64
70,49,57
71,50,58
72,53,61
73,50,62
74,53,57
75,52,59
76,51,60
77,49,58
78,54,57
79,52,55
80,51,58
81,54,57
82,58,62
83,56,60
84,48,56
85,49,58
86,51,59
87,54,62
88,53,57
89,49,58
90,50,57
91,52,55
92,47,56
93,48,55
94,46,58
95,48,56
96,46,58
97,58,66
98,56,64
99,60,69
100,59,68
101,62,66
102,61,65
103,64,68
104,61,64
105,53,65
106,54,61
107,55,63
108,62,65
109,60,67
110,59,68
111,61,70
112,59,63
113,61,64
114,60,68
115,57,69
116,55,64
117,63,66
118,62,69
119,64,72
120,69,73
121,68,71
122,64,72
123,60,64
124,62,66
125,60,67
126,63,66
127,60,68
128,67,76
129,66,75
130,62,71
131,67,75
132,66,78
133,67,74
134,70,73
135,71,75
136,70,74
137,68,72
138,66,69
139,59,71
140,61,68
141,58,61
142,50,62
143,51,60
144,54,62
145,53,65
146,55,63
147,54,62
148,56,59
149,54,61
150,59,68
151,58,67
152,60,63
153,61,64
154,59,68
155,67,75
156,69,73
157,65,69
158,63,71
159,62,70
160,65,68
161,58,70
162,60,69
163,58,62
164,54,63
165,52,64
166,56,59
167,52,60
168,50,59
169,51,58
170,56,60
171,55,63
172,51,59
173,58,61
174,56,68
175,59,66
176,55,64
177,57,60
178,54,61
179,56,64
180,58,67
181,61,64
182,59,71
183,60,69
184,62,66
185,63,71
186,62,70
187,63,72
188,68,71
189,66,70
190,59,67
191,61,64
192,57,66
193,56,68
194,58,61
195,55,62
196,51,63
197,54,58
198,52,60
199,53,61
200,58,62
201,56,63
202,58,62
203,55,63
204,51,60
205,54,57
206,59,62
207,58,61
208,57,64
209,59,63
210,63,71
211,66,70
212,61,69
213,63,72
214,67,76
215,68,77
216,69,76
217,65,69
218,68,71
219,64,67
220,62,69
221,58,62
222,55,63
223,58,62
224,57,65
225,60,63
226,57,64
227,58,66
228,63,67
229,62,69
230,59,71
231,54,63
232,55,64
233,54,66
234,53,61
235,55,63
236,56,60
237,55,59
238,53,62
239,57,60
240,56,64
241,64,68
242,63,70
243,68,71
244,67,76
245,66,75
246,67,70
247,64,72
248,61,73
249,63,70
250,59,71
251,63,67
252,65,69
253,61,65
254,57,66
255,62,65
256,60,69
257,61,68
258,72,75
259,71,74
260,67,76
261,63,71
262,60,72
263,64,68
264,62,66
265,58,67
266,57,69
267,56,65
268,55,67
269,62,66
270,61,68
271,53,61
272,54,62
273,53,65
274,57,61
275,61,64
276,63,66
277,62,74
278,64,73
279,62,70
280,70,74
281,68,71
282,67,75
283,59,68
284,61,70
285,58,66
286,57,69
287,59,66
288,56,68
289,60,64
290,59,67
291,67,71
292,66,70
293,63,72
294,60,69
295,68,71
296,67,76
297,66,74
298,68,76
299,71,74
300,69,73
301,67,75
302,69,73
303,68,71
304,61,73
305,62,71
306,61,70
307,62,71
308,69,72
309,67,75
310,63,67
311,62,69
312,65,68
313,61,65
314,58,62
315,61,64
316,56,65
317,57,64
318,61,69
319,60,68
320,64,67
321,63,75
322,70,74
323,69,76
324,70,79
325,69,78
326,72,75
327,65,77
328,67,74
329,66,75
330,63,67
331,62,69
332,58,62
333,51,63
334,53,61
335,50,58
336,51,60
337,55,64
338,53,65
339,61,64
340,59,68
341,58,66
342,55,59
343,57,61
344,65,68
345,64,67
346,61,69
347,63,67
348,60,68
349,63,72
350,64,71
351,61,73
352,65,74
353,64,76
354,63,72
355,67,75
356,64,68
357,57,69
358,58,62
359,55,63
360,52,60
361,59,63
362,57,64
363,58,61
364,61,64
365,58,67
366,59,68
367,62,71
368,70,74
369,68,71
370,66,70
371,64,71
372,72,76
373,70,78
374,67,79
375,70,78
376,72,81
377,72,80
378,69,78
379,67,79
380,63,72
381,70,73
382,69,76
383,65,68
384,58,70
385,60,67
386,61,69
387,57,65
388,59,62
389,56,60
390,54,63
391,58,62
392,62,70
393,65,69
394,62,65
395,69,72
396,67,74
397,66,78
398,69,76
399,64,72
400,66,74
401,68,77
402,65,74
403,69,77
404,70,73
405,71,80
406,72,79
407,67,71
408,69,72
409,68,71
410,66,73
411,67,71
412,66,73
413,63,75
414,64,72
415,71,75
416,69,72
417,67,75
418,72,80
419,70,79
420,67,76
421,70,74
422,69,72
423,70,79
424,71,78
425,69,81
426,71,79
427,72,76
428,65,73
429,67,75
430,60,63
431,61,64
432,57,61
433,55,64
434,59,63
435,63,66
436,61,70
437,62,69
438,61,65
439,64,72
440,63,71
441,70,73
442,68,77
443,71,79
444,72,76
445,68,72
446,66,75
447,54,63
448,53,56
449,50,57
450,46,58
451,49,56
452,56,60
453,54,62
454,58,66
455,56,64
456,58,62
457,60,64
458,53,65
459,54,61
460,51,60
461,50,62
462,52,59
463,60,64
464,59,62
465,60,69
466,58,67
467,57,69
468,59,66
469,61,64
470,63,66
471,61,70
472,59,67
473,63,71
474,66,70
475,59,71
476,61,68
477,64,67
478,65,69
479,68,76
480,65,74
481,69,73
482,72,81
483,70,79
484,72,75
485,69,77
486,70,74
487,68,71
488,66,69
489,68,72
490,60,68
491,62,71
492,70,78
493,68,77
494,69,78
495,70,73
496,67,74
497,71,75
498,69,77
499,70,73
500,69,76
501,66,74
502,67,76
503,60,68
504,61,70
505,64,67
506,62,71
507,63,67
508,62,74
509,69,72
510,68,75
511,70,78
512,72,80
513,69,81
514,70,78
515,66,70
516,64,71
517,59,68
518,61,70
519,59,71
520,64,67
521,62,74
522,66,73
523,68,76
524,70,78
525,66,75
526,64,76
527,68,72
528,66,74
529,69,78
530,62,66
531,64,67
532,60,63
533,58,70
534,60,69
535,64,67
536,62,70
537,63,67
538,56,64
539,58,66
540,61,65
541,60,72
542,61,70
543,64,68
544,71,80
545,70,79
546,68,80
547,70,77
548,68,80
549,72,76
550,71,79
551,72,75
552,64,68
553,66,69
554,62,65
555,57,61
556,59,68
557,60,67
558,62,70
559,59,67
560,57,69
561,60,68
562,57,69
563,58,61
564,51,63
565,52,61
566,48,57
567,51,60
568,54,57
569,58,61
570,57,64
571,53,57
572,51,58
573,50,62
574,55,58
575,54,62
576,53,61
577,46,55
578,47,56
579,50,59
580,53,61
581,56,59
582,57,61
583,61,64
584,59,71
585,63,70
586,62,74
587,67,71
588,66,73
589,61,65
590,63,66
591,62,69
592,58,70
593,62,71
594,65,73
595,67,76
596,65,74
597,66,70
598,69,72
599,65,68
600,72,80
601,70,78
602,69,81
603,72,76
604,71,78
605,67,79
606,72,75
607,71,78
608,70,79
609,68,76
610,65,77
611,61,70
612,63,72
613,67,75
614,69,73
615,61,69
616,62,66
617,55,67
618,56,63
619,59,62
620,58,70
621,62,69
622,59,71
623,60,69
624,64,73
625,62,71
626,55,59
627,57,60
628,55,62
629,56,59
630,55,63
631,62,66
632,60,64
633,58,61
634,60,69
635,59,68
636,60,67
637,52,60
638,53,62
639,55,58
640,53,61
641,54,58
642,53,57
643,56,60
644,54,57
645,46,58
646,48,55
647,45,57
648,48,56
649,55,64
650,54,63
651,53,65
652,54,58
653,52,59
654,51,60
655,50,58
656,53,56
657,54,58
658,58,62
659,56,63
660,64,67
661,63,75
662,67,74
663,62,66
664,64,67
665,60,68
666,57,65
667,59,62
668,57,66
669,59,67
670,58,70
671,63,67
672,62,66
673,65,68
674,64,73
675,63,72
676,56,60
677,58,61
678,61,64
679,58,67
680,57,69
681,58,65
682,60,68
683,62,70
684,69,73
685,67,76
686,70,73
687,66,75
688,64,72
689,66,70
690,64,68
691,61,64
692,65,68
693,63,70
694,66,75
695,69,73
696,67,74
697,64,72
698,65,74
699,67,76
700,71,79
701,70,78
702,71,75
703,69,72
704,61,64
705,62,65
706,61,73
707,68,72
708,67,75
709,70,74
710,66,75
711,64,73
712,66,74
713,65,77
714,66,73
715,68,76
716,64,68
717,67,70
718,59,68
719,61,64
720,53,61
721,54,57
722,51,55
723,55,63
724,57,61
725,53,62
726,49,58
727,51,59
728,52,55
729,49,58
730,53,57
731,52,55
732,55,63
733,58,62
734,60,63
735,63,67
736,56,64
737,58,67
738,54,62
739,61,64
740,60,67
741,59,68
742,62,65
743,60,68
744,61,70
745,59,62
746,57,64
747,52,60
748,54,58
749,56,65
750,60,64
751,58,62
752,57,66
753,55,67
754,60,63
755,59,66
756,58,67
757,62,65
758,58,66
759,60,64
760,59,71
761,61,69
762,60,72
763,65,69
764,63,67
765,55,63
766,56,59
767,54,63
768,58,67
769,59,62
770,57,64
771,59,68
772,57,69
773,61,64
774,62,66
775,66,70
776,59,71
777,61,68
778,58,66
779,61,65
780,60,72
